,0,1
220909_GFP-AHPC_D_MAP2ab_F7_Cy3_ND2_20x.tiff,57.0,17.197410583496094
220912_GFP-AHPC_B_RIP_F6_Cy3_ND2_20x.tiff,12.0,3.950263738632202
220912_GFP-AHPC_A_Nestin_F3_DAPI_ND1_20x.tiff,301.0,243.3753662109375
220909_GFP-AHPC_D_Ki67_F2_DAPI_ND1_20x.tiff,231.0,202.9469757080078
220912_GFP-AHPC_B_Nestin_F1_Cy3_ND2_20x.tiff,3.0,1.415238618850708
220909_GFP-AHPC_D_TuJ1_F5_Cy3_ND2_20x.tiff,13.0,1.3965014219284058
220909_GFP-AHPC_D_MAP2ab_F7_DAPI_ND1_20x.tiff,177.0,142.24798583984375
220909_GFP-AHPC_D_Ki67_F9_Cy3_ND8_20x.tiff,1.0,2.718250036239624
220909_GFP-AHPC_D_Nestin_F9_DAPI_ND1_20x.tiff,168.0,117.01841735839844
220912_GFP-AHPC_A_Nestin_F8_DAPI_ND1_20x.tiff,139.0,110.26387023925781
220909_GFP-AHPC_D_MAP2ab_F9_Cy3_ND2_20x.tiff,50.0,28.10610008239746
220912_GFP-AHPC_B_RIP_F3_Cy3_ND2_20x.tiff,6.0,1.7464900016784668
220912_GFP-AHPC_A_TuJ1_F8_Cy3_ND2_20x.tiff,18.0,16.712236404418945
220912_GFP-AHPC_B_RIP_F5_Cy3_ND2_20x.tiff,15.0,23.346336364746094
220909_GFP-AHPC_D_GFAP_F7_DAPI_ND1_20x.tiff,175.0,152.51683044433594
220909_GFP-AHPC_D_TuJ1_F6_DAPI_ND1_20x.tiff,258.0,215.75677490234375
220909_GFP-AHPC_C_Ki67_F7_DAPI_ND1_20x.tiff,170.0,128.16433715820312
220909_GFP-AHPC_D_Ki67_F10_DAPI_ND1_20x.tiff,180.0,162.39794921875
220909_GFP-AHPC_C_GFAP_F4_Cy3_ND2_20x.tiff,0.0,17.991012573242188
220912_GFP-AHPC_C_TuJ1_F1.2_Cy3_ND1_20x.tiff,4.0,0.18218137323856354
220909_GFP-AHPC_B_GFAP_F8_DAPI_ND1_20x.tiff,91.0,74.66081237792969
220912_GFP-AHPC_A_Nestin_F2_Cy3_ND2_20x.tiff,251.0,229.6412353515625
220909_GFP-AHPC_D_Nestin_F8_DAPI_ND1_20x.tiff,171.0,144.2703094482422
220909_GFP-AHPC_A_Ki67_F9_CY3_ND8_20x.tiff,5.0,3.2867178916931152
220909_GFP-AHPC_D_Nestin_F4_DAPI_ND1_20x.tiff,182.0,159.5645751953125
220912_GFP-AHPC_B_TuJ1_F4_Cy3_ND2_20x.tiff,14.0,9.857295989990234
220909_GFP-AHPC_D_RIP_F3_Cy3_ND2_20x.tiff,94.0,36.233482360839844
220912_GFP-AHPC_C_TuJ1_F8_DAPI_ND1_20x.tiff,22.0,15.157672882080078
220912_GFP-AHPC_C_Map2AB_F5_DAPI_ND1_20x.tiff,11.0,3.6617493629455566
220912_GFP-AHPC_A_Map2AB_F4_Cy3_ND2_20x.tiff,103.0,163.99169921875
220912_GFP-AHPC_B_Map2AB_F2_DAPI_ND1_20x.tiff,107.0,58.40127182006836
220909_GFP-AHPC_D_MAP2ab_F2_DAPI_ND1_20x.tiff,345.0,255.88955688476562
220909_GFP-AHPC_D_TuJ1_F5_DAPI_ND1_20x.tiff,125.0,78.8836441040039
220909_GFP-AHPC_C_Ki67_F9_Cy3_ND8_20x.tiff,1.0,2.598567008972168
220912_GFP-AHPC_B_TuJ1_F8_Cy3_ND2_20x.tiff,3.0,0.5041227340698242
220912_GFP-AHPC_B_Map2AB_F9_Cy3_ND2_20x.tiff,66.0,45.36695861816406
220909_GFP-AHPC_D_MAP2ab_F1_Cy3_ND2_20x.tiff,112.0,22.34846305847168
220909_GFP-AHPC_A_GFAP_F6_Cy3_ND2_20x.tiff,16.0,33.65401077270508
220909_GFP-AHPC_D_Nestin_F8_Cy3_ND2_20x.tiff,123.0,115.03302001953125
220909_GFP-AHPC_C_GFAP_F6_DAPI_ND1_20x.tiff,57.0,45.92875289916992
220909_GFP-AHPC_B_GFAP_F8_Cy3_ND2_20x.tiff,0.0,37.11621856689453
220909_GFP-AHPC_B_GFAP_F3_Cy3_ND2_20x.tiff,0.0,73.95590209960938
220909_GFP-AHPC_C_GFAP_F9_DAPI_ND1_20x.tiff,65.0,51.548057556152344
220909_GFP-AHPC_C_Nestin_F6_Cy3_ND2_20x.tiff,14.0,8.571826934814453
220909_GFP-AHPC_D_GFAP_F8_DAPI_ND1_20x.tiff,342.0,314.5343017578125
220909_GFP-AHPC_D_RIP_F4_Cy3_ND2_20x.tiff,58.0,19.299217224121094
220912_GFP-AHPC_A_TuJ1_F6_DAPI_ND1_20x.tiff,72.0,54.68644714355469
220912_GFP-AHPC_A_TuJ1_F7_DAPI_ND1_20x.tiff,55.0,44.30194854736328
220912_GFP-AHPC_A_Nestin_F6_DAPI_ND1_20x.tiff,313.0,275.2430419921875
220909_GFP-AHPC_B_Ki67_F5_DAPI_ND1_20x.tiff,26.0,15.380208015441895
220909_GFP-AHPC_B_Ki67_F5_Cy3_ND8_20x.tiff,2.0,1.46609628200531
220909_GFP-AHPC_B_Ki67_F3_Cy3_ND8_20x.tiff,0.0,0.010800475254654884
220909_GFP-AHPC_D_GFAP_F2_Cy3_ND2_20x.tiff,1.0,40.04572677612305
